current_testing_input_set1,current_testing_input_set2,current_testing_input_set3
0.105,0.1,0.1
0.188,0.1,0.1
0.619,0.1,0.1
0.105,0.1,0.1
0.652,0.1,0.1
0.242,0.1,0.1
0.756,0.1,0.1
0.116,0.1,0.1
0.66,0.1,0.1
0.11,0.1,0.1
0.23,0.1,0.1
0.72,0.1,0.1
0.659,0.1,0.1
0.209,0.1,0.1
0.672,0.1,0.1
0.134,0.1,0.1
0.442,0.1,0.1
0.209,0.1,0.1
0.442,0.1,0.1
0.134,0.1,0.1
0.672,0.1,0.1
0.11,0.1,0.1
0.72,0.1,0.1
0.23,0.1,0.1
0.659,0.1,0.1
0.717,0.1,0.1
0.124,0.1,0.1
0.25,0.1,0.1
0.645,0.1,0.1
0.553,0.1,0.1
0.108,0.1,0.1
0.194,0.1,0.1
0.629,0.1,0.1
0.629,0.1,0.1
0.194,0.1,0.1
0.108,0.1,0.1
0.553,0.1,0.1
0.717,0.1,0.1
0.25,0.1,0.1
0.124,0.1,0.1
0.645,0.1,0.1
0.754,0.1,0.1
0.653,0.1,0.1
0.145,0.1,0.1
0.214,0.1,0.1
0.549,0.1,0.1
0.201,0.1,0.1
0.654,0.1,0.1
0.164,0.1,0.1
0.164,0.1,0.1
0.549,0.1,0.1
0.654,0.1,0.1
0.201,0.1,0.1
0.754,0.1,0.1
0.145,0.1,0.1
0.214,0.1,0.1
0.653,0.1,0.1
